,Z,N,E,S,W
3.8333333333333335,6522.325670899149,7158.953081313211,5888.9147148772645,6768.630578077844,8981.877215292228
3.85,6514.842993359505,7138.244327648405,5872.724322628717,6759.582948457364,8937.585425248984
3.8666666666666667,6507.876319998551,7118.344909215142,5857.776705403758,6750.510846337513,8895.142280617787
3.8833333333333333,6501.687040252957,7099.510517295533,5845.675864493269,6741.652951528081,8854.576368851656
3.9,6495.978841576562,7082.356944573081,5836.856071582245,6732.683316334213,8814.976678330697
3.9166666666666665,6490.827143312106,7066.832877711572,5830.943766804555,6723.489843989994,8776.330974279676
3.933333333333333,6485.933563705941,7052.650800853242,5826.984402335707,6713.986613150271,8737.76289781292
3.9499999999999997,6481.167477091065,7039.411765443556,5823.393503424891,6703.994286519369,8699.446279672351
3.966666666666667,6476.27761181655,7026.683911021258,5818.746074813575,6693.543635898352,8661.600306565433
3.9833333333333334,6471.348916133064,7013.73590869271,5812.001611749104,6682.410228256456,8624.492009981082
4.0,6466.330638553635,6999.796245324477,5802.806483903209,6671.265053970197,8589.135450309677
4.016666666666667,6461.173691030951,6985.1266852155895,5791.428454579759,6659.733952195007,8555.884308463976
4.033333333333333,6455.855353784952,6969.82222867244,5778.727943094534,6648.533340918796,8525.930931945362
4.05,6450.240963391768,6954.178370642034,5765.694975465805,6637.031641348216,8499.21326768837
4.066666666666666,6444.4500734295125,6938.643370636142,5753.358041027358,6625.526331315661,8475.623461009794
4.083333333333333,6438.677190619238,6923.950013516253,5742.349692515344,6613.705717590911,8454.878274780544
4.1,6433.057575574284,6910.300799408202,5733.093963282803,6602.0146484871675,8435.463345099573
4.116666666666666,6427.617926356186,6897.9706311948485,5725.493700927836,6589.72211311618,8416.495864681716
4.133333333333333,6422.284512522568,6887.194817920049,5719.103321995236,6577.543078315021,8395.898535120472
4.15,6417.004471199085,6878.269306727491,5713.223732715925,6565.524820347843,8372.868970844711
4.166666666666667,6411.619214437206,6870.744821875757,5707.173441163447,6553.362576099464,8347.018972751586
4.183333333333334,6406.165248794444,6864.444998374291,5700.395204680849,6541.945691697974,8317.20534781793
4.2,6400.657337809333,6858.63551101781,5692.573522604717,6530.050193542469,8284.619656935725
4.216666666666667,6395.169107843802,6852.701728522158,5683.64772971542,6518.379031127576,8249.761621722977
4.233333333333333,6389.648429504916,6846.206769848915,5673.785957694356,6505.973885854741,8213.520470876896
4.25,6384.155073801049,6838.907800094884,5663.215608266356,6493.391360943602,8177.125680724101
4.266666666666667,6378.7234560287725,6830.801441307602,5652.128323829432,6480.4799090461765,8141.419932466305
